subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,days_overdue
S-b2d472,A-bcf87c,2024-08-27,2024-12-11,Enterprise,10,1990,23880,False,False,False,True,annual,False,0
S-9cb6a7,A-7f29a7,2024-12-21,,Basic,41,779,9348,False,False,False,False,monthly,True,0
S-dabcd2,A-3ce5b8,2024-09-22,,Pro,28,0,0,True,False,False,False,monthly,True,0
S-f0a2e5,A-55f257,2024-06-05,,Basic,23,0,0,True,False,False,False,annual,True,0
S-0e499f,A-296d7c,2024-08-17,,Pro,16,784,9408,False,False,False,False,annual,False,0
S-65dbf3,A-17939a,2024-12-28,,Basic,36,684,8208,False,False,False,False,monthly,True,0
S-6c969d,A-855a48,2024-05-08,,Basic,14,266,3192,False,False,False,False,monthly,False,0
S-522aef,A-f3ff05,2024-08-22,,Pro,4,196,2352,False,False,False,False,annual,True,0
S-162596,A-462d45,2024-02-29,,Pro,18,0,0,True,False,False,False,monthly,True,0
S-a1d6ad,A-eafc6e,2024-09-01,,Pro,27,1323,15876,False,False,False,False,monthly,True,0
S-09cdac,A-82861f,2024-07-31,2024-09-04,Basic,41,779,9348,False,False,False,True,annual,True,0
S-f2537d,A-e43bf7,2024-01-24,,Pro,44,2156,25872,False,False,False,False,monthly,True,0
S-27f7b2,A-a1b80b,2024-04-03,,Basic,38,722,8664,False,False,False,False,annual,True,0
S-367dee,A-e19ff6,2024-06-29,,Pro,1,49,588,False,False,False,False,annual,True,0
S-3b9ad8,A-6e08f3,2024-12-24,,Enterprise,28,5572,66864,False,False,False,False,monthly,False,0
S-066d80,A-9b9fe9,2024-08-17,,Pro,5,245,2940,False,False,False,False,monthly,True,0
S-e260ff,A-bcf87c,2024-12-09,,Enterprise,21,4179,50148,False,False,False,False,annual,True,0
S-124207,A-fdfc91,2023-08-31,,Basic,29,551,6612,False,False,False,False,annual,True,0
S-80c01c,A-d3c88e,2024-12-16,,Basic,16,304,3648,False,True,False,False,annual,True,0
S-666181,A-eb1312,2024-10-09,,Basic,71,1349,16188,False,False,False,False,annual,True,0
S-ca0c98,A-fda07f,2024-11-28,,Pro,7,343,4116,False,False,False,False,monthly,True,0
S-017e33,A-f9cc74,2024-11-08,2024-11-25,Basic,53,1007,12084,False,False,False,True,monthly,True,0
S-22f503,A-7a0d69,2024-09-06,,Basic,6,114,1368,False,False,False,False,annual,True,0
S-ceffe9,A-89ee83,2024-11-23,,Enterprise,2,398,4776,False,False,False,False,monthly,True,0
S-cf6ec1,A-d77f4c,2024-08-04,,Enterprise,22,4378,52536,False,True,False,False,monthly,False,0
S-a44d72,A-b30291,2024-06-12,,Pro,18,882,10584,False,False,False,False,monthly,True,0
S-fc9cc3,A-9b9fe9,2024-01-01,,Pro,24,1176,14112,False,False,False,False,annual,True,0
S-17f71d,A-e40f45,2024-05-15,,Pro,44,2156,25872,False,True,False,False,monthly,True,0
S-672f1b,A-eafc6e,2023-08-08,,Pro,27,1323,15876,False,False,False,False,monthly,True,0
S-101201,A-d49cc5,2024-02-13,,Basic,50,950,11400,False,False,False,False,annual,True,0
S-029c20,A-f44180,2024-12-13,,Basic,10,0,0,True,False,False,False,annual,False,0
S-a74462,A-7c83a1,2024-05-14,,Pro,48,2352,28224,False,False,False,False,annual,True,0
S-51d8db,A-cc1d8d,2024-12-30,,Enterprise,6,1194,14328,False,False,False,False,annual,True,0
S-11e29d,A-71615e,2024-10-13,,Basic,32,608,7296,False,False,False,False,monthly,True,0
S-1feff8,A-5fe118,2024-12-06,,Enterprise,39,7761,93132,False,False,False,False,annual,True,0
S-af41f0,A-e83938,2024-06-27,,Basic,2,38,456,False,False,False,False,annual,False,0
S-65ae02,A-671f31,2024-12-14,,Pro,59,2891,34692,False,False,False,False,annual,True,0
S-f7fccd,A-443b7c,2024-11-18,,Basic,6,0,0,True,True,False,False,annual,True,0
S-3c0121,A-7c83a1,2024-12-30,,Pro,24,1176,14112,False,False,False,False,monthly,True,0
S-163e64,A-dfbd31,2024-11-08,,Enterprise,62,12338,148056,False,False,False,False,monthly,True,0
S-c2f293,A-69b156,2024-12-10,2024-12-30,Basic,8,152,1824,False,False,False,True,monthly,False,0
S-fe3b71,A-44dc83,2024-09-24,,Enterprise,37,0,0,True,False,False,False,monthly,True,0
S-f5f5b3,A-89ee83,2024-12-26,2024-12-29,Basic,10,190,2280,False,False,False,True,annual,True,0
S-851bbe,A-d77f4c,2024-04-22,,Enterprise,94,18706,224472,False,True,False,False,annual,True,0
S-dab0d5,A-cc1d8d,2024-12-14,,Basic,5,0,0,True,False,False,False,monthly,True,0
S-9aa190,A-9b9fe9,2024-10-17,,Basic,33,627,7524,False,False,False,False,annual,True,0
S-766a62,A-1ac5e0,2024-11-24,,Enterprise,33,0,0,True,False,False,False,monthly,False,0
S-aa20eb,A-6f8ad2,2024-09-08,,Pro,1,49,588,False,False,False,False,monthly,False,0
S-0ff339,A-6dee43,2024-01-21,,Basic,12,228,2736,False,False,False,False,annual,True,0
S-4d664d,A-cc1d8d,2024-12-26,,Pro,16,784,9408,False,True,True,False,annual,True,0
S-e2d4e9,A-18793f,2024-12-30,,Basic,148,0,0,True,True,False,False,monthly,True,0
S-d8441d,A-8adedc,2024-03-16,,Basic,4,76,912,False,False,False,False,annual,True,0
S-6d356a,A-425e76,2023-06-26,,Basic,28,532,6384,False,False,False,False,annual,False,0
S-c005ac,A-92a3af,2024-09-18,,Enterprise,25,4975,59700,False,False,False,False,annual,True,0
S-b3c4b8,A-c43359,2024-12-17,,Pro,38,0,0,True,False,False,False,annual,True,0
S-7a06fe,A-5a92e7,2024-09-28,,Pro,28,1372,16464,False,False,False,False,monthly,True,0
S-ceaca8,A-96e141,2024-08-10,,Enterprise,24,4776,57312,False,False,False,False,monthly,True,0
S-3a1a06,A-eb7fac,2024-07-09,,Enterprise,14,2786,33432,False,False,False,False,monthly,True,0
S-c10f0c,A-0f7d77,2024-11-11,,Basic,6,114,1368,False,False,False,False,monthly,False,0
S-cdd00a,A-4e44e8,2024-08-23,,Basic,38,722,8664,False,False,False,False,monthly,True,0
S-76c59f,A-0aaf6e,2024-08-01,,Basic,24,456,5472,False,False,False,False,annual,True,0
S-88de1c,A-18793f,2024-12-24,,Basic,148,2812,33744,False,False,False,False,annual,True,0
S-f12a54,A-f3ff05,2024-11-24,,Pro,2,98,1176,False,False,False,False,monthly,True,0
S-61e53d,A-d42431,2024-11-15,2024-12-14,Basic,22,418,5016,False,False,False,True,annual,False,0
S-4c5456,A-149a69,2024-12-19,,Basic,34,646,7752,False,False,False,False,monthly,True,0
S-9e6a18,A-7d514c,2024-11-06,,Pro,21,1029,12348,False,True,False,False,monthly,False,0
S-0b2ac3,A-d792a6,2024-01-01,,Basic,7,0,0,True,False,False,False,annual,True,0
S-cb8a5c,A-1e6fc3,2024-12-17,,Enterprise,1,199,2388,False,False,False,False,annual,True,0
S-8324d4,A-5a215a,2024-07-13,2024-08-03,Pro,87,0,0,True,False,False,True,monthly,True,0
S-838330,A-5a215a,2024-06-20,,Pro,87,0,0,True,False,False,False,annual,False,0
S-720d62,A-c16101,2024-10-05,,Basic,53,1007,12084,False,False,False,False,monthly,True,0
S-24ae40,A-328bd0,2024-02-11,2024-03-28,Basic,18,342,4104,False,False,False,True,monthly,True,0
S-bdd4c5,A-5a92e7,2024-12-03,,Pro,28,1372,16464,False,False,False,False,monthly,True,0
S-2196c4,A-425e76,2024-04-16,,Basic,8,152,1824,False,False,False,False,monthly,True,0
S-3e6a40,A-94c3cd,2024-08-07,,Enterprise,32,0,0,True,False,False,False,monthly,True,0
S-e51242,A-8145a0,2023-11-13,,Enterprise,9,1791,21492,False,False,False,False,annual,True,0
S-ae3270,A-fdfc91,2023-09-14,,Basic,29,551,6612,False,False,False,False,annual,True,0
S-3cc163,A-df10db,2024-07-02,,Basic,68,0,0,True,True,False,False,annual,False,0
S-e1d553,A-692f18,2024-09-27,,Pro,9,0,0,True,False,False,False,annual,True,0
S-682d28,A-fdfc91,2024-08-31,,Enterprise,47,9353,112236,False,False,False,False,annual,True,0
S-6e4c1a,A-94f8c9,2024-08-02,,Enterprise,13,2587,31044,False,False,False,False,monthly,True,0
S-7564e1,A-313be3,2024-08-14,,Enterprise,47,0,0,True,False,False,False,monthly,True,0
S-41023c,A-49b828,2023-12-15,,Enterprise,31,6169,74028,False,False,False,False,annual,True,0
S-7e1791,A-a6d261,2024-05-09,,Enterprise,9,1791,21492,False,False,False,False,annual,True,0
S-1109d6,A-a2485e,2024-08-11,,Enterprise,3,597,7164,False,False,True,False,annual,True,0
S-ef4ad8,A-bcf87c,2024-08-14,,Pro,10,490,5880,False,False,False,False,annual,False,0
S-4c100f,A-eb7fac,2024-02-24,,Enterprise,136,27064,324768,False,False,False,False,monthly,False,0
S-3311b1,A-7cfe77,2024-08-24,,Pro,69,3381,40572,False,True,False,False,monthly,True,0
S-807d87,A-69b156,2024-01-16,,Enterprise,28,5572,66864,False,False,False,False,annual,True,0
S-86c28f,A-8adedc,2024-04-02,,Pro,79,3871,46452,False,False,False,False,annual,True,0
S-c3bf1d,A-55f257,2024-03-15,,Pro,9,441,5292,False,False,False,False,annual,True,0
S-ccdf41,A-94f8c9,2024-11-29,,Enterprise,17,3383,40596,False,False,False,False,monthly,True,0
S-3503cb,A-c43359,2024-12-14,,Basic,38,722,8664,False,False,False,False,monthly,True,0
S-abd244,A-66224b,2024-12-05,,Basic,92,1748,20976,False,False,False,False,monthly,False,0
S-1e83a6,A-443b7c,2024-12-29,,Basic,8,152,1824,False,False,False,False,annual,True,0
S-2480b0,A-6e08f3,2024-12-27,,Basic,13,247,2964,False,False,False,False,annual,True,0
S-b4ac47,A-3b5cd1,2023-10-07,,Pro,31,1519,18228,False,False,False,False,annual,False,0
S-c64e87,A-f3ff05,2024-09-19,,Enterprise,27,5373,64476,False,False,False,False,annual,True,0
S-f7b0e0,A-66224b,2024-11-24,,Basic,92,1748,20976,False,False,False,False,annual,True,0
S-e052d8,A-4e44e8,2024-10-26,,Pro,25,0,0,True,False,False,False,annual,True,0
S-2d51ca,A-96e141,2023-12-05,,Pro,32,1568,18816,False,False,False,False,monthly,True,0
S-62c98f,A-5a92e7,2024-10-27,,Pro,35,1715,20580,False,False,False,False,monthly,True,0
S-1cff77,A-5a3eb9,2023-09-20,,Pro,65,3185,38220,False,False,False,False,annual,True,0
S-3a28a1,A-b9f5b1,2024-07-25,,Enterprise,15,2985,35820,False,False,False,False,annual,True,0
S-d02277,A-05f0e5,2024-06-11,,Enterprise,92,18308,219696,False,True,False,False,monthly,True,0
S-9f2386,A-558c72,2024-03-09,,Enterprise,15,2985,35820,False,False,False,False,annual,True,0
S-c1056f,A-6f8ad2,2024-10-23,,Basic,21,399,4788,False,False,False,False,monthly,False,0
S-dc90ef,A-bcf87c,2024-07-22,,Pro,17,833,9996,False,False,False,False,annual,True,0
S-fa7c1a,A-df10db,2024-10-21,,Enterprise,12,2388,28656,False,False,False,False,monthly,True,0
S-426f2f,A-8145a0,2024-03-08,,Enterprise,3,597,7164,False,False,False,False,annual,True,0
S-702fe2,A-d77f4c,2024-03-27,,Enterprise,11,2189,26268,False,False,False,False,monthly,True,0
S-eec041,A-c43359,2024-12-22,,Basic,38,722,8664,False,True,False,False,monthly,True,0
S-2ccc04,A-9a532a,2024-10-18,,Enterprise,11,2189,26268,False,False,False,False,monthly,True,0
S-9b1f0e,A-e83938,2024-07-16,,Pro,2,98,1176,False,True,False,False,annual,True,0
S-3445f5,A-7f6b86,2023-10-15,,Basic,45,855,10260,False,False,False,False,annual,False,0
S-ceb9bd,A-7da956,2024-11-12,,Pro,20,980,11760,False,False,False,False,annual,True,0
S-d4cc9b,A-10b8f2,2023-10-03,,Pro,54,2646,31752,False,False,False,False,annual,True,0
S-753a0a,A-ad64c6,2024-06-15,,Enterprise,28,5572,66864,False,False,False,False,annual,False,0
S-62a710,A-42b791,2024-11-07,,Pro,22,1078,12936,False,False,False,False,annual,True,0
S-ed4e09,A-e43bf7,2024-02-26,,Pro,44,2156,25872,False,True,False,False,annual,True,0
S-f49e0b,A-7f6b86,2024-01-21,2024-03-21,Pro,45,2205,26460,False,True,False,True,annual,True,0
S-ca454e,A-9174e0,2024-12-14,,Enterprise,37,7363,88356,False,False,False,False,monthly,True,0
S-a8f236,A-855a48,2024-03-17,,Enterprise,14,2786,33432,False,False,False,False,monthly,False,0
S-43c489,A-c222ab,2024-08-27,,Pro,32,1568,18816,False,False,False,False,annual,True,0
S-47ce2d,A-d792a6,2023-02-06,,Pro,37,1813,21756,False,False,False,False,monthly,True,0
S-60b7c7,A-02fac6,2024-05-02,,Enterprise,23,4577,54924,False,False,False,False,annual,False,0
S-52385a,A-0aaf6e,2024-11-13,,Basic,3,57,684,False,False,False,False,monthly,True,0
S-904784,A-9badbd,2024-09-20,,Enterprise,20,0,0,True,False,False,False,monthly,False,0
S-c9b181,A-443b7c,2024-10-08,,Pro,28,1372,16464,False,True,False,False,monthly,True,0
S-863c87,A-e43bf7,2023-07-05,,Enterprise,70,13930,167160,False,True,False,False,annual,True,0
S-f965de,A-ab438f,2024-10-20,2024-12-18,Pro,64,0,0,True,True,False,True,monthly,True,0
S-abff7d,A-94f8c9,2024-06-26,,Basic,20,0,0,True,False,False,False,annual,True,0
S-791c64,A-a1b80b,2024-11-07,,Pro,16,0,0,True,False,False,False,annual,True,0
S-7b7be8,A-d42431,2024-07-08,,Basic,91,1729,20748,False,False,False,False,monthly,True,0
S-e143c9,A-bd4513,2024-12-01,,Pro,50,2450,29400,False,False,False,False,annual,True,0
S-c3213f,A-1d5444,2024-08-02,,Enterprise,41,8159,97908,False,False,False,False,annual,False,0
S-102053,A-4e0e85,2024-04-10,,Enterprise,6,1194,14328,False,False,False,False,monthly,True,0
S-43c2e3,A-6f8ad2,2024-08-11,,Enterprise,35,6965,83580,False,True,False,False,monthly,True,0
S-a2b83d,A-cc8c8f,2024-07-26,,Basic,23,437,5244,False,False,False,False,annual,True,0
S-260e48,A-7f4db3,2023-07-16,,Pro,10,490,5880,False,False,False,False,annual,True,0
S-e98296,A-6f8ad2,2024-10-22,,Pro,16,784,9408,False,False,True,False,monthly,True,0
S-afea79,A-05f0e5,2024-08-16,,Pro,32,1568,18816,False,True,False,False,annual,False,0
S-020222,A-02fac6,2024-05-23,,Pro,22,1078,12936,False,False,False,False,monthly,True,0
S-a7d379,A-702032,2024-11-28,,Basic,28,532,6384,False,False,False,False,monthly,True,0
S-2991c7,A-443b7c,2024-11-11,,Pro,38,1862,22344,False,False,False,False,monthly,True,0
S-239a39,A-30b4ca,2024-07-01,,Pro,86,4214,50568,False,False,False,False,monthly,True,0
S-13c8b6,A-89ee83,2024-10-29,,Basic,27,513,6156,False,False,False,False,monthly,True,0
S-75c1b4,A-5a3eb9,2024-12-10,2024-12-28,Pro,18,882,10584,False,False,False,True,annual,True,0
S-6c6e62,A-5fe118,2024-12-29,,Basic,39,0,0,True,False,False,False,monthly,True,0
S-191550,A-6c093d,2024-05-08,,Basic,15,285,3420,False,True,False,False,monthly,True,0
S-70af60,A-0354fe,2024-12-10,,Basic,34,0,0,True,False,False,False,annual,True,0
S-65071f,A-b9f5b1,2024-08-11,,Basic,43,817,9804,False,False,False,False,monthly,True,0
S-ab63e3,A-0354fe,2024-11-23,,Basic,34,646,7752,False,False,False,False,annual,True,0
S-bdc6b7,A-7f29a7,2024-12-02,2024-12-25,Enterprise,41,8159,97908,False,False,False,True,monthly,False,0
S-2c1ca6,A-118f1c,2024-11-11,,Enterprise,32,6368,76416,False,False,False,False,monthly,False,0
S-bc1457,A-69b156,2024-10-06,,Enterprise,7,1393,16716,False,False,True,False,annual,True,0
S-761a0f,A-d792a6,2024-10-17,,Enterprise,65,12935,155220,False,False,False,False,annual,True,0
S-872bdd,A-d3c88e,2024-10-23,,Enterprise,16,3184,38208,False,False,False,False,annual,True,0
S-bf9b37,A-692f18,2024-05-25,,Pro,6,294,3528,False,False,False,False,annual,True,0
S-51924b,A-67be94,2024-01-18,,Basic,62,1178,14136,False,False,False,False,annual,True,0
S-02ab8b,A-4e44e8,2024-11-03,,Enterprise,75,14925,179100,False,False,False,False,monthly,True,0
S-d1350e,A-6c093d,2024-07-27,,Enterprise,61,12139,145668,False,False,False,False,annual,True,0
S-1a9fb7,A-b30291,2024-06-04,,Enterprise,16,3184,38208,False,False,False,False,monthly,True,0
S-1a3627,A-86fc1d,2024-12-31,,Basic,26,0,0,True,False,False,False,monthly,True,0
S-93f835,A-5a215a,2024-02-11,,Pro,87,4263,51156,False,True,False,False,monthly,True,0
S-4fdfa3,A-5a3eb9,2024-11-09,,Enterprise,18,3582,42984,False,False,False,False,monthly,True,0
S-f421c8,A-9badbd,2024-06-29,,Basic,28,532,6384,False,False,False,False,annual,True,0
S-34553e,A-d49cc5,2024-06-25,,Basic,50,950,11400,False,False,False,False,annual,False,0
S-e6a17a,A-039727,2024-12-19,2024-12-30,Enterprise,25,4975,59700,False,True,False,True,annual,True,0
S-9d36ff,A-2e3bad,2024-03-11,,Enterprise,61,0,0,True,False,False,False,monthly,True,0
S-f0ad87,A-acb7f7,2024-10-13,,Basic,32,0,0,True,False,False,False,annual,False,0
S-d65491,A-186a44,2024-12-17,,Pro,20,0,0,True,False,False,False,annual,True,0
S-e4ba87,A-e40f45,2024-05-23,,Basic,27,513,6156,False,False,False,False,annual,True,0
S-d7e65d,A-5a92e7,2024-08-30,,Pro,20,980,11760,False,False,False,False,monthly,True,0
S-984423,A-96e141,2024-08-21,,Enterprise,25,4975,59700,False,False,False,False,monthly,True,0
S-e7d026,A-0aaf6e,2024-12-25,,Enterprise,88,17512,210144,False,False,False,False,annual,True,0
S-38131a,A-aa9511,2024-04-13,,Enterprise,23,0,0,True,False,False,False,monthly,True,0
S-aa3a36,A-ccc747,2024-05-13,,Enterprise,16,0,0,True,True,False,False,monthly,False,0
S-6ed77d,A-fe79a5,2024-05-22,,Enterprise,9,1791,21492,False,False,False,False,monthly,True,0
S-f72b84,A-f44180,2024-06-22,,Pro,9,441,5292,False,False,False,False,monthly,True,0
S-0f0d3a,A-ad296b,2024-11-16,2024-11-20,Basic,38,722,8664,False,False,False,True,annual,True,0
S-33eb1d,A-02fac6,2024-09-20,,Enterprise,22,4378,52536,False,False,False,False,annual,False,0
S-45baac,A-1d5444,2024-05-31,,Enterprise,24,4776,57312,False,False,False,False,monthly,False,0
S-871e83,A-8adedc,2024-03-21,,Enterprise,14,2786,33432,False,False,False,False,annual,True,0
S-c77c84,A-0be015,2024-12-31,,Basic,19,0,0,True,False,False,False,monthly,False,0
S-2fe253,A-1f0636,2024-02-28,2024-10-30,Pro,105,0,0,True,False,False,True,annual,True,0
S-a575f5,A-039727,2024-12-09,,Basic,25,475,5700,False,False,False,False,annual,True,0
S-712f3a,A-eb1312,2024-11-20,2024-12-26,Basic,25,475,5700,False,False,False,True,monthly,True,0
S-dfa4c8,A-eb7fac,2024-01-21,2024-04-22,Pro,7,343,4116,False,False,False,True,annual,True,0
S-310ae0,A-58b9ff,2024-09-13,2024-10-01,Enterprise,2,398,4776,False,False,False,True,monthly,True,0
S-799da2,A-95b24a,2024-06-27,,Pro,38,1862,22344,False,False,False,False,monthly,True,0
S-a916cb,A-eb7c38,2024-10-28,,Enterprise,35,6965,83580,False,False,False,False,monthly,True,0
S-c35f78,A-95b24a,2024-10-11,,Pro,38,0,0,True,True,False,False,annual,True,0
S-079321,A-e1462e,2023-07-27,,Pro,15,735,8820,False,False,False,False,annual,False,0
S-7679b6,A-7f29a7,2024-10-14,,Pro,41,2009,24108,False,False,False,False,annual,False,0
S-7d0dea,A-69b156,2024-11-16,,Pro,7,0,0,True,False,True,False,monthly,True,0
S-5e572d,A-94f8c9,2024-07-16,,Enterprise,13,2587,31044,False,False,False,False,annual,False,0
S-bb82ac,A-e19ff6,2023-10-29,,Basic,38,722,8664,False,False,False,False,annual,True,0
S-b21a0b,A-b7ef83,2024-10-29,,Pro,17,833,9996,False,False,False,False,monthly,True,0
S-22365f,A-05f0e5,2023-06-11,,Enterprise,32,6368,76416,False,False,False,False,annual,True,0
S-7785af,A-a1b80b,2024-03-28,,Enterprise,16,3184,38208,False,True,False,False,monthly,False,0
S-120ae3,A-781cc0,2024-09-24,,Basic,34,646,7752,False,False,False,False,annual,True,0
S-c8fa77,A-56962b,2024-08-28,,Basic,163,3097,37164,False,False,False,False,monthly,True,0
S-6f1051,A-e98302,2024-02-01,,Enterprise,34,6766,81192,False,False,False,False,annual,True,0
S-41ca59,A-692f18,2024-07-18,,Enterprise,37,7363,88356,False,False,False,False,monthly,True,0
S-720c17,A-4e0e85,2024-02-16,,Pro,20,0,0,True,False,False,False,annual,True,0
S-9dcef8,A-b30291,2024-09-27,,Basic,41,779,9348,False,False,False,False,monthly,True,0
S-1131ff,A-0f7d77,2024-12-01,2024-12-31,Basic,3,0,0,True,False,False,True,monthly,True,0
S-eabe72,A-5790f4,2024-12-26,,Basic,33,627,7524,False,False,False,False,monthly,False,0
S-92dede,A-9208f0,2023-08-28,,Basic,4,76,912,False,False,False,False,monthly,True,0
S-285534,A-49b828,2024-11-09,,Basic,13,247,2964,False,False,False,False,annual,True,0
S-1cebf9,A-dfbd31,2024-10-16,,Pro,60,2940,35280,False,False,False,False,annual,True,0
S-9fbee8,A-49b828,2024-10-09,,Pro,10,490,5880,False,False,False,False,annual,True,0
S-ee5448,A-cc1d8d,2024-12-29,,Basic,9,171,2052,False,False,False,False,annual,True,0
S-d32441,A-781cc0,2024-09-19,2024-11-24,Enterprise,12,2388,28656,False,False,False,True,annual,True,0
S-c508b3,A-671f31,2024-12-24,,Enterprise,59,11741,140892,False,False,False,False,annual,False,0
S-42d724,A-7a0d69,2024-08-01,,Pro,4,0,0,True,False,False,False,annual,True,0
S-bd9394,A-039727,2024-11-28,,Enterprise,64,0,0,True,True,False,False,annual,False,0
S-9b12da,A-702032,2024-12-13,2024-12-21,Pro,28,1372,16464,False,False,False,True,annual,True,0
S-f40318,A-e19ff6,2024-03-25,,Enterprise,14,0,0,True,False,False,False,annual,False,0
S-214edb,A-558c72,2024-06-25,,Basic,77,1463,17556,False,False,False,False,monthly,True,0
S-d43a40,A-4e0e85,2024-09-20,,Basic,15,0,0,True,False,False,False,annual,True,0
S-14c8b9,A-aa9511,2023-11-29,,Enterprise,33,6567,78804,False,False,False,False,monthly,True,0
S-2ded36,A-a1b80b,2024-09-08,,Enterprise,16,3184,38208,False,True,False,False,annual,True,0
S-d92159,A-b30291,2024-12-22,,Pro,5,245,2940,False,False,False,False,annual,True,0
S-ec690c,A-328bd0,2023-10-11,,Basic,18,342,4104,False,False,False,False,annual,True,0
S-ee2669,A-e43bf7,2024-12-29,,Enterprise,44,8756,105072,False,False,False,False,annual,True,0
S-e6cfc1,A-1e6fc3,2024-01-11,2024-04-02,Basic,1,0,0,True,False,False,True,annual,True,0
S-195f9b,A-92a333,2024-02-08,,Pro,14,686,8232,False,False,False,False,annual,True,0
S-a1d67e,A-bbc346,2024-12-20,,Pro,20,980,11760,False,False,False,False,annual,False,0
S-65491f,A-039727,2024-11-12,,Pro,25,1225,14700,False,False,False,False,monthly,False,0
S-53fa80,A-462d45,2024-08-05,,Enterprise,14,2786,33432,False,False,False,False,monthly,True,0
S-c17a35,A-1ac5e0,2024-11-25,,Pro,33,1617,19404,False,False,False,False,monthly,False,0
S-b6c0a0,A-443b7c,2024-11-01,,Basic,3,57,684,False,False,False,False,monthly,True,0
S-770018,A-149a69,2024-12-14,,Enterprise,34,6766,81192,False,False,False,False,annual,False,0
S-63606e,A-7a0d69,2024-09-28,,Pro,4,196,2352,False,True,False,False,monthly,True,0
S-597873,A-05f0e5,2024-07-09,,Enterprise,32,6368,76416,False,False,False,False,monthly,True,0
S-d97ff1,A-7d514c,2024-03-20,,Basic,17,323,3876,False,False,False,False,monthly,True,0
S-70cc83,A-313be3,2024-12-16,,Pro,47,2303,27636,False,False,False,False,monthly,True,0
S-95cf94,A-1ac5e0,2024-10-24,,Basic,33,627,7524,False,False,False,False,annual,True,0
S-7da02b,A-f44180,2023-05-20,2023-12-19,Enterprise,89,17711,212532,False,False,False,True,annual,True,0
S-a0ba0c,A-eb1312,2024-12-18,,Basic,42,798,9576,False,False,False,False,monthly,True,0
S-d11e9f,A-186a44,2024-08-10,,Basic,20,380,4560,False,False,False,False,monthly,True,0
S-a0c517,A-7f6b86,2023-10-24,,Pro,59,2891,34692,False,True,False,False,monthly,True,0
S-f463d3,A-acb7f7,2024-03-24,,Enterprise,32,6368,76416,False,True,False,False,monthly,True,0
S-1ad0ca,A-ed510f,2024-04-09,,Enterprise,42,8358,100296,False,False,False,False,annual,True,0
S-a9e864,A-44dc83,2024-09-24,,Basic,17,0,0,True,False,False,False,annual,True,0
S-5e558a,A-10b8f2,2023-10-07,,Enterprise,47,9353,112236,False,False,False,False,annual,True,0
S-afc4cb,A-86fc1d,2024-10-16,,Basic,26,494,5928,False,False,False,False,monthly,True,0
S-6e0edc,A-a1b80b,2024-09-07,,Enterprise,16,3184,38208,False,False,False,False,annual,True,0
S-a01aad,A-5f7781,2024-10-14,,Enterprise,22,4378,52536,False,False,False,False,monthly,True,0
S-e42331,A-94f8c9,2024-07-25,,Enterprise,23,0,0,True,False,False,False,annual,True,0
S-b147b9,A-fce879,2024-12-13,,Basic,21,399,4788,False,False,False,False,annual,True,0
